DiseaseId	Class
C4707581	C01
C0343524	C01
C0752335	C01
C3872662	C01
C0432487	C01
C0282002	C01
C0037974	C01
C1112209	C01
C0271402	C01
C0006060	C01
C0036457	C01
C0343968	C01
C0149959	C01
C0026975	C01
C0158944	C01
C0019163	C01
C0239998	C01
C2930826	C01
C0000833	C01
C0280201	C01
C0157844	C01
C2931859	C01
C0729531	C01
C0339968	C01
C0275708	C01
C1859438	C01
C1264606	C01
C0851886	C01
C0546994	C01
C0206751	C01
C0155866	C01
C0019357	C01
C0595993	C01
C0014836	C01
C0456239	C01
C0040921	C01
C0032310	C01
C0276240	C01
C0085273	C01
C1096452	C01
C1112211	C01
C0023886	C01
C0018078	C01
C2349757	C01
C0155860	C01
C0282312	C01
C0041316	C01
C0343641	C01
C1707758	C01
C0023885	C01
C0035455	C01
C0857846	C01
C0854084	C01
C2349529	C01
C1837872	C01
C0242993	C01
C0015652	C01
C0267756	C01
C2936323	C01
C0276259	C01
C0851980	C01
C0555970	C01
C0040592	C01
C0036117	C01
C0031111	C01
C0155862	C01
C0152516	C01
C0027983	C01
C0035243	C01
C1857316	C01
C0152073	C01
C0242147	C01
C0085423	C01
C0343643	C01
C0276871	C01
C0546999	C01
C0001752	C01
C0277527	C01
C0162699	C01
C0007642	C01
C0276667	C01
C1836003	C01
C0003756	C01
C0022336	C01
C0006023	C01
C0085808	C01
C4706572	C01
C0339997	C01
C0263506	C01
C0152066	C01
C0086942	C01
C0008684	C01
C1960026	C01
C4324739	C01
C1336077	C01
C0262421	C01
C0085434	C01
C0037354	C01
C1692886	C01
C0343951	C01
C0026946	C01
C2931429	C01
C0041912	C01
C0264551	C01
C0014061	C01
C0206750	C01
C0014121	C01
C4316791	C01
C1167769	C01
C2931379	C01
C2076600	C01
C0276668	C01
C0025007	C01
C0030757	C01
C0272383	C01
C0040425	C01
C0343900	C01
C0006285	C01
C0004945	C01
C0079680	C01
C0877203	C01
C0002831	C01
C0040259	C01
C1442786	C01
C0031085	C01
C0085412	C01
C0338437	C01
C0162700	C01
C0206178	C01
C0033839	C01
C0006846	C01
C1833487	C01
C0348801	C01
C1320211	C01
C0152497	C01
C0032965	C01
C0162677	C01
C0266999	C01
C1290140	C01
C1135747	C01
C0275982	C01
C0014122	C01
C0276253	C01
C0752332	C01
C0157849	C01
C0034189	C01
C0030578	C01
C0031024	C01
C0276846	C01
C0032300	C01
C0242172	C01
C0010823	C01
C0040954	C01
C0041318	C01
C0016514	C01
C0239295	C01
C0343461	C01
C1444087	C01
C4546278	C01
C0032302	C01
C3714514	C01
C0023355	C01
C0271454	C01
C0007129	C01
C0037199	C01
C1864975	C01
C4303148	C01
C0149678	C01
C1960454	C01
C0010418	C01
C4075603	C01
C0018081	C01
C0041332	C01
C0023524	C01
C1405308	C01
C4303137	C01
C0238472	C01
C0008055	C01
C0014733	C01
C0019188	C01
C4024599	C01
C0024535	C01
C0275959	C01
C3840167	C01
C0024959	C01
C0157848	C01
C0032290	C01
C0744451	C01
C0033740	C01
C0005146	C01
C0035235	C01
C0024537	C01
C0009225	C01
C0040947	C01
C0221376	C01
C4281802	C01
C0242429	C01
C0302507	C01
C0155826	C01
C0040261	C01
C0276655	C01
C0334106	C01
C0518988	C01
C0948279	C01
C0264515	C01
C0013884	C01
C1708498	C01
C3714630	C01
C0235887	C01
C0242338	C01
C0276653	C01
C0006845	C01
C0085786	C01
C0581381	C01
C0270627	C01
C0022415	C01
C1704430	C01
C0403379	C01
C0205882	C01
C4505386	C01
C0857069	C01
C3714636	C01
C0036690	C01
C0008677	C01
C0685919	C01
C0032298	C01
C0276658	C01
C0748483	C01
C0343640	C01
C0019342	C01
C0276665	C01
C0221052	C01
C0086541	C01
C0007947	C01
C0752235	C01
C0518964	C04
C2845975	C04
C0334454	C04
C4023192	C04
C0153452	C04
C0546476	C04
C1333802	C04
C0280474	C04
C0334281	C04
C1266005	C04
C0280202	C04
C1707439	C04
C4048234	C04
C3163822	C04
C1134719	C04
C1334759	C04
C0022665	C04
C1153706	C04
C0043037	C04
C1629504	C04
C0699791	C04
C0349658	C04
C0007113	C04
C0345916	C04
C0278619	C04
C1334452	C04
C0334488	C04
C0032463	C04
C0279550	C04
C0153604	C04
C0600113	C04
C3472614	C04
C3489413	C04
C0740339	C04
C1848411	C04
C3640999	C04
C1836326	C04
C1306214	C04
C0259786	C04
C0349620	C04
C0585442	C04
C1332959	C04
C0346390	C04
C1412016	C04
C2985219	C04
C0279584	C04
C1266134	C04
C1367534	C04
C1302401	C04
